"country","yearAC","totalAC","yearAP","rateper1000AP","yearCL","infoCL","totalCL"
"Panama","2016",33.2,"2017",75.9,"2014","5 to 17 years old",2.6
"Papua New Guinea","2016",7.4,"2016",68,NA,NA,NA
"Paraguay","2016",23,"2015",72,"2016","5 to 17 years old",17.9
"Peru","2016",38.5,"2017",44,"2015","5 to 17 years old",14.5
"Philippines","2016",20.8,"2017",39,NA,NA,NA
"Poland","2016",55.6,"2017",11.1,NA,NA,NA
"Portugal","2016",58,"2017",8,NA,NA,NA
"Qatar","2016",25.5,"2017",8.5,NA,NA,NA
"Republic of Korea","2016",50.5,"2017",1,NA,NA,NA
"Republic of Moldova","2016",52.9,"2018",21.4,NA,NA,NA
"Republic of North Macedonia","2016",39.4,"2018",15.1,"2011","5 to 14 years old",7.6
"Romania","2016",55.2,"2017",38.1,NA,NA,NA
"Russian Federation","2016",39.5,"2016",21.5,NA,NA,NA
"Rwanda","2016",22.6,"2016",41,"2014","6 to 17 years old",19
"Saint Kitts and Nevis","2016",40.4,"2007",46.1,NA,NA,NA
"Saint Lucia","2016",35.3,"2014",36,"2012","5 to 14 years old",3.3
"Saint Vincent and the Grenadines","2016",32,"2017",52.3,NA,NA,NA
"Samoa","2016",9.1,"2011",39.2,NA,NA,NA
"San Marino",NA,NA,"2017",1.4,NA,NA,NA
"Sao Tome and Principe","2016",21.1,"2014",92,"2014","5 to 17 years old",18.2
"Saudi Arabia","2016",2.5,"2009",8.7,NA,NA,NA
"Senegal","2016",12.4,"2016",77.5,"2016","5 to 17 years old",22.8
"Serbia","2016",47.3,"2017",15.2,"2014","5 to 17 years old",7
"Seychelles","2016",39.4,"2018",68.3,NA,NA,NA
"Sierra Leone","2016",18.7,"2016",101.3,"2017","5 to 17 years old",25.2
"Singapore","2016",57.2,"2018",2.5,NA,NA,NA
"Slovakia","2016",56.5,"2017",26.8,NA,NA,NA
"Slovenia","2016",59.6,"2017",4.1,NA,NA,NA
"Solomon Islands","2016",7.4,"2013",78,"2015","5 to 14 years old",17.9
"Somalia","2016",0.3,"2005",123,NA,NA,NA
"South Africa","2016",19.5,"2017",40.9,"2015","7 to 17 years old",3.6
"South Sudan",NA,NA,"2008",158.1,NA,NA,NA
"Spain","2016",56.6,"2017",7.1,NA,NA,NA
"Sri Lanka","2016",18,"2015",21,NA,NA,NA
"State of Palestine",NA,NA,"2014",48,"2010","5 to 14 years old",9.4
"Sudan","2016",1.1,"2013",86.8,"2014","5 to 17 years old",18.1
"Suriname","2016",28.2,"2017",56.7,"2018","5 to 17 years old",4.3
"Sweden","2016",62,"2017",4.6,NA,NA,NA
"Switzerland","2016",72,"2017",2.4,NA,NA,NA
"Syrian Arab Republic","2016",1,"2009",54,NA,NA,NA
"Tajikistan","2016",11.7,"2016",54.3,NA,NA,NA
"Thailand","2016",27.3,"2017",37.8,NA,NA,NA
"Timor-Leste","2016",12.9,"2015",41.9,NA,NA,NA
"Togo","2016",15,"2016",88.7,"2014","5 to 17 years old",22.6
"Tonga","2016",8.2,"2011",30,NA,NA,NA
"Trinidad and Tobago","2016",43.9,"2009",38,"2011","5 to 14 years old",0.8
"Tunisia","2016",2.6,"2017",4,"2012","5 to 14 years old",2.3
"Turkey","2016",3.5,"2017",20.9,NA,NA,NA
"Turkmenistan","2016",18.4,"2014",28,"2016","5 to 17 years old",0.3
